id_municipio,nome_municipio,ano,apgar1
3300100,Angra Dos Reis,2010,8.09
3300100,Angra Dos Reis,2011,8.08
3300100,Angra Dos Reis,2012,8.16
3300100,Angra Dos Reis,2013,8.17
3300100,Angra Dos Reis,2014,8.22
3300100,Angra Dos Reis,2015,8.21
3300100,Angra Dos Reis,2016,8.27
3300100,Angra Dos Reis,2017,8.26
3300100,Angra Dos Reis,2018,8.27
3300100,Angra Dos Reis,2019,8.11
3300100,Angra Dos Reis,2020,7.97
3300159,Aperibé,2010,8.76
3300159,Aperibé,2011,8.51
3300159,Aperibé,2012,8.52
3300159,Aperibé,2013,8.52
3300159,Aperibé,2014,8.99
3300159,Aperibé,2015,8.74
3300159,Aperibé,2016,8.73
3300159,Aperibé,2017,8.46
3300159,Aperibé,2018,8.34
3300159,Aperibé,2019,8.73
3300159,Aperibé,2020,8.6
3300209,Araruama,2010,7.99
3300209,Araruama,2011,7.93
3300209,Araruama,2012,8.13
3300209,Araruama,2013,8.45
3300209,Araruama,2014,8.33
3300209,Araruama,2015,8.26
3300209,Araruama,2016,8.46
3300209,Araruama,2017,8.14
3300209,Araruama,2018,8.01
3300209,Araruama,2019,7.98
3300209,Araruama,2020,8.13
3300225,Areal,2016,8.0
3300225,Areal,2019,9.0
3300225,Areal,2020,9.0
3300233,Armação Dos Búzios,2010,8.13
3300233,Armação Dos Búzios,2011,8.25
3300233,Armação Dos Búzios,2012,8.11
3300233,Armação Dos Búzios,2013,8.29
3300233,Armação Dos Búzios,2014,8.28
3300233,Armação Dos Búzios,2015,8.28
3300233,Armação Dos Búzios,2016,8.32
3300233,Armação Dos Búzios,2017,8.27
3300233,Armação Dos Búzios,2018,8.44
3300233,Armação Dos Búzios,2019,8.43
3300233,Armação Dos Búzios,2020,8.25
3300258,Arraial Do Cabo,2010,8.49
3300258,Arraial Do Cabo,2011,8.92
3300258,Arraial Do Cabo,2012,7.98
3300258,Arraial Do Cabo,2013,7.4
3300258,Arraial Do Cabo,2014,8.0
3300258,Arraial Do Cabo,2015,7.04
3300258,Arraial Do Cabo,2016,7.99
3300258,Arraial Do Cabo,2017,8.19
3300258,Arraial Do Cabo,2018,8.41
3300258,Arraial Do Cabo,2019,8.6
3300258,Arraial Do Cabo,2020,8.57
3300308,Barra Do Piraí,2010,7.55
3300308,Barra Do Piraí,2011,7.61
3300308,Barra Do Piraí,2012,7.74
3300308,Barra Do Piraí,2013,8.07
3300308,Barra Do Piraí,2014,8.36
3300308,Barra Do Piraí,2015,8.24
3300308,Barra Do Piraí,2016,8.46
3300308,Barra Do Piraí,2017,8.49
3300308,Barra Do Piraí,2018,8.39
3300308,Barra Do Piraí,2019,8.2
3300308,Barra Do Piraí,2020,8.42
3300407,Barra Mansa,2010,8.13
3300407,Barra Mansa,2011,8.05
3300407,Barra Mansa,2012,8.1
3300407,Barra Mansa,2013,8.13
3300407,Barra Mansa,2014,8.06
3300407,Barra Mansa,2015,8.37
3300407,Barra Mansa,2016,8.38
3300407,Barra Mansa,2017,8.37
3300407,Barra Mansa,2018,8.4
3300407,Barra Mansa,2019,8.38
3300407,Barra Mansa,2020,8.33
3300456,Belford Roxo,2010,7.89
3300456,Belford Roxo,2011,7.94
3300456,Belford Roxo,2012,7.93
3300456,Belford Roxo,2013,7.91
3300456,Belford Roxo,2014,7.88
3300456,Belford Roxo,2015,7.87
3300456,Belford Roxo,2016,7.93
3300456,Belford Roxo,2017,7.86
3300456,Belford Roxo,2018,8.12
3300456,Belford Roxo,2019,7.92
3300456,Belford Roxo,2020,7.94
3300506,Bom Jardim,2010,8.93
3300506,Bom Jardim,2011,8.87
3300506,Bom Jardim,2012,8.71
3300506,Bom Jardim,2013,8.49
3300506,Bom Jardim,2014,8.69
3300506,Bom Jardim,2015,8.67
3300506,Bom Jardim,2016,8.46
3300506,Bom Jardim,2017,8.65
3300506,Bom Jardim,2018,8.81
3300506,Bom Jardim,2019,8.76
3300506,Bom Jardim,2020,8.77
3300605,Bom Jesus Do Itabapoana,2010,8.78
3300605,Bom Jesus Do Itabapoana,2011,8.85
3300605,Bom Jesus Do Itabapoana,2012,8.8
3300605,Bom Jesus Do Itabapoana,2013,8.92
3300605,Bom Jesus Do Itabapoana,2014,8.52
3300605,Bom Jesus Do Itabapoana,2015,8.28
3300605,Bom Jesus Do Itabapoana,2016,8.4
3300605,Bom Jesus Do Itabapoana,2017,8.61
3300605,Bom Jesus Do Itabapoana,2018,8.7
3300605,Bom Jesus Do Itabapoana,2019,8.73
3300605,Bom Jesus Do Itabapoana,2020,8.62
3300704,Cabo Frio,2010,8.17
3300704,Cabo Frio,2011,8.13
3300704,Cabo Frio,2012,8.17
3300704,Cabo Frio,2013,8.22
3300704,Cabo Frio,2014,8.28
3300704,Cabo Frio,2015,8.24
3300704,Cabo Frio,2016,8.31
3300704,Cabo Frio,2017,8.37
3300704,Cabo Frio,2018,8.4
3300704,Cabo Frio,2019,8.34
3300704,Cabo Frio,2020,8.43
3300803,Cachoeiras De Macacu,2010,8.34
3300803,Cachoeiras De Macacu,2011,8.35
3300803,Cachoeiras De Macacu,2012,8.36
3300803,Cachoeiras De Macacu,2013,8.21
3300803,Cachoeiras De Macacu,2014,8.33
3300803,Cachoeiras De Macacu,2015,8.37
3300803,Cachoeiras De Macacu,2016,8.5
3300803,Cachoeiras De Macacu,2017,8.34
3300803,Cachoeiras De Macacu,2018,8.31
3300803,Cachoeiras De Macacu,2019,8.32
3300803,Cachoeiras De Macacu,2020,8.26
3300902,Cambuci,2010,7.9
3300902,Cambuci,2011,7.87
3300902,Cambuci,2012,7.82
3300902,Cambuci,2013,7.85
3300902,Cambuci,2014,7.89
3300902,Cambuci,2015,7.79
3300902,Cambuci,2016,8.06
3300902,Cambuci,2017,8.07
3300902,Cambuci,2018,8.06
3300902,Cambuci,2019,8.16
3300902,Cambuci,2020,8.28
3300936,Carapebus,2010,5.5
3300936,Carapebus,2011,4.67
3300936,Carapebus,2012,9.0
3300936,Carapebus,2013,9.0
3300936,Carapebus,2014,9.0
3300936,Carapebus,2015,10.0
3300936,Carapebus,2016,7.67
3300936,Carapebus,2017,9.0
3300936,Carapebus,2018,2.0
3300936,Carapebus,2019,8.0
3300951,Comendador Levy Gasparian,2010,7.0
3300951,Comendador Levy Gasparian,2020,9.0
3301009,Campos Dos Goytacazes,2010,8.04
3301009,Campos Dos Goytacazes,2011,8.16
3301009,Campos Dos Goytacazes,2012,8.08
3301009,Campos Dos Goytacazes,2013,7.98
3301009,Campos Dos Goytacazes,2014,8.06
3301009,Campos Dos Goytacazes,2015,8.05
3301009,Campos Dos Goytacazes,2016,8.09
3301009,Campos Dos Goytacazes,2017,8.24
3301009,Campos Dos Goytacazes,2018,8.25
3301009,Campos Dos Goytacazes,2019,8.22
3301009,Campos Dos Goytacazes,2020,8.23
3301108,Cantagalo,2010,8.86
3301108,Cantagalo,2011,8.62
3301108,Cantagalo,2012,8.57
3301108,Cantagalo,2013,8.44
3301108,Cantagalo,2014,8.03
3301108,Cantagalo,2015,8.05
3301108,Cantagalo,2016,8.14
3301108,Cantagalo,2017,8.23
3301108,Cantagalo,2018,8.28
