,id_municipio,nome_municipio,geometria
0,3300100,Angra Dos Reis,"POLYGON ((-44.512326670061746 -22.94065850603396, -44.51392604977923 -22.937357107469552, -44.516439180841125 -22.933244420741254, -44.517002123870114 -22.931974795790154, -44.51901680315631 -22.928409625544557, -44.51807310000475 -22.92790718073176, -44.51409176582054 -22.92527147735722, -44.51037999275036 -22.922268030197632, -44.50697162912715 -22.918924228233266, -44.50510095060778 -22.91670070386776, -44.50275158600389 -22.91947942103513, -44.49925020215202 -22.92288296804498, -44.49543352076273 -22.925928746155588, -44.491337943543364 -22.928587706171573, -44.48700253217817 -22.930834488186132, -44.482468635776385 -22.93264766345188, -44.47777949650394 -22.934009938758134, -44.475251361738174 -22.93448314573798, -44.47534841512065 -22.93460927600802, -44.47785769310342 -22.938597727589272, -44.47871372716702 -22.94011232796687, -44.48094882104285 -22.94457281818313, -44.48272826108865 -22.9492338492629, -44.48403433004795 -22.954049012964866, -44.4844814785625 -22.956733644550354, -44.48754916446471 -22.95727746754866, -44.49222912557347 -22.958586199576473, -44.49879070162502 -22.960770067593614, -44.500365086101006 -22.957419322829484, -44.5015790345753 -22.95513816690527, -44.504184721606286 -22.950788940176803, -44.50721746110579 -22.946725952462423, -44.50983474123153 -22.943874805104862, -44.51017801179398 -22.943348098059342, -44.512326670061746 -22.94065850603396))"
1,3300159,Aperibé,POLYGON EMPTY
2,3300209,Araruama,"MULTIPOLYGON (((-42.391417198913224 -22.780507507858673, -42.38943792810039 -22.779996263003817, -42.38492757648758 -22.778355994536685, -42.37950171910938 -22.776082350856477, -42.37525252382276 -22.774061737379697, -42.374815604595305 -22.773801011123474, -42.37414728068849 -22.773908272426965, -42.369300069804595 -22.774209024812652, -42.36444654628924 -22.774038101331705, -42.359632500040924 -22.77339711453814, -42.354903348515315 -22.772292111733503, -42.35030370824052 -22.770733517914408, -42.3458769738886 -22.76873603741938, -42.34166490887454 -22.766318515202773, -42.33770725134504 -22.763503759044664, -42.33175995564749 -22.758822892866164, -42.33049853682828 -22.758495731101483, -42.32613687407151 -22.75692063664818, -42.32193989900229 -22.754948220665426, -42.31794371404136 -22.752595449894866, -42.317943357825136 -22.752595192950082, -42.31292460108361 -22.75053281977446, -42.30825615446062 -22.748326126354776, -42.30384019404591 -22.7456497139546, -42.29972381851207 -22.74253212799996, -42.29595093129242 -22.7390066192781, -42.29256177232645 -22.73511078929932, -42.28959248887854 -22.73088618925599, -42.287074750007235 -22.72637787685598, -42.28519470531554 -22.72256081642118, -42.283366842093116 -22.71837814034198, -42.28192804540053 -22.714046197680677, -42.28181081551345 -22.713544048941785, -42.28000004172947 -22.71062011334042, -42.27786390541489 -22.70628443175582, -42.27615637660928 -22.70176275523759, -42.274063883066304 -22.69529112572318, -42.27285765744258 -22.690881076411713, -42.267404948155416 -22.666639643804444, -42.26624967080135 -22.66528344864968, -42.261537555225225 -22.661447455065083, -42.256830169415 -22.66245733585578, -42.25199103379335 -22.663010790508892, -42.247121008417075 -22.66309078083417, -42.24226630699384 -22.66269654776997, -42.23747299781591 -22.661831832358715, -42.232786566598854 -22.66050484024661, -42.2282514848486 -22.658728163816818, -42.22812743147972 -22.658665018184227, -42.22533720440462 -22.65816379949986, -42.22068680262833 -22.65685471421855, -42.21618444873495 -22.655102929307837, -42.211872176594085 -22.652924799390274, -42.207790245476595 -22.650340659435326, -42.204836701830615 -22.648043471580955, -42.20751080406981 -22.651429334201826, -42.210159212512075 -22.655558155532788, -42.25594501462533 -22.73529062078233, -42.2832976709762 -22.753599387329967, -42.28736041584357 -22.75662781134478, -42.29109577400366 -22.76005189476765, -42.294465379969516 -22.763836469183058, -42.29743462485809 -22.767942663608867, -42.2999730118546 -22.77232830373625, -42.30205446944218 -22.776948345097747, -42.303657619179894 -22.781755335714486, -42.304765995278444 -22.786699903470623, -42.305368213718715 -22.79173126320941, -42.305458089175836 -22.79679773834239, -42.305034698548056 -22.801847291614436, -42.30410239043781 -22.806828059573142, -42.30267074048768 -22.811688885253123, -42.296177404305894 -22.830214603416792, -42.29707373841818 -22.832574198041716, -42.29836974351931 -22.837379039672943, -42.299181690289835 -22.842288914902024, -42.2995015352173 -22.847255184281117, -42.299420827656206 -22.84954331452026, -42.313878975982966 -22.861118577262417, -42.31756442805798 -22.86437936653486, -42.32091149939067 -22.86798663935104, -42.32388776984154 -22.87190545522829, -42.32646441089347 -22.876097856039994, -42.32861646488825 -22.88052323368264, -42.33032308676947 -22.88513872341083, -42.3308023809377 -22.886972052138777, -42.331678185835564 -22.88692687872199, -42.32155981219751 -22.848148537668735, -42.32057024739241 -22.843438657255547, -42.32003808746853 -22.838655455626363, -42.31996826282627 -22.83384324859327, -42.32036142038288 -22.82904662070008, -42.3212139175789 -22.824310012151678, -42.32251785612601 -22.81967730708062, -42.324261155183784 -22.815191426965725, -42.32642766328726 -22.810893932969503, -42.32899730798845 -22.80682464087877, -42.331946281825196 -22.803021252215984, -42.33524726289462 -22.79951900493897, -42.33886966798736 -22.796350346965305, -42.342779935937536 -22.793544635546095, -42.34694183856302 -22.791127865274436, -42.35131681631544 -22.789122427248493, -42.35586433552988 -22.787546901620555, -42.36054226396469 -22.786415885454073, -42.391417198913224 -22.780507507858673)), ((-42.195113997769454 -22.638231502892516, -42.19477826567605 -22.6388922997558, -42.19733516962465 -22.640864282135325, -42.19871075808828 -22.642037170744867, -42.197294722798055 -22.64041100184853, -42.195853438641215 -22.638584681490936, -42.195113997769454 -22.638231502892516)))"
3,3300225,Areal,POLYGON EMPTY
4,3300233,Armação Dos Búzios,POLYGON EMPTY
5,3300258,Arraial Do Cabo,POLYGON EMPTY
6,3300308,Barra Do Piraí,"POLYGON ((-43.9568135520746 -22.467101478876728, -43.95683397251368 -22.467097662219036, -43.96226080505143 -22.466685145555324, -43.96707013426581 -22.46658213047386, -43.96718211892466 -22.466433917178993, -43.97005720152048 -22.463240672275692, -43.97981821903855 -22.453294394905786, -43.97318523397311 -22.448472724756737, -43.96943206039192 -22.445457942781537, -43.965986213522456 -22.442096192992988, -43.9628796366716 -22.438418639110537, -43.96014112808299 -22.434459372385668, -43.95779607397472 -22.430255095572956, -43.95670121149758 -22.427753005180744, -43.9527319687273 -22.428925313083614, -43.947912872471086 -22.429847196534507, -43.94302662365205 -22.43029231483585, -43.9381202740276 -22.430256381755182, -43.93324106891426 -22.429739743307337, -43.92843599224264 -22.42874737442253, -43.92375131412916 -22.427288831040666, -43.91923214532161 -22.42537815809311, -43.914922002808616 -22.423033754258142, -43.9108623907762 -22.420278194792274, -43.907092400946354 -22.41713801414356, -43.90364833614635 -22.41364345044017, -43.896238179875866 -22.405347100305857, -43.8960045959141 -22.40563875341074, -43.89263501726472 -22.40910027139819, -43.8889471209602 -22.412220461760793, -43.884975331546215 -22.414970199185124, -43.88376827931193 -22.41572230134132, -43.88180906658555 -22.418054198279446, -43.87838714050183 -22.421413043731715, -43.874659210859846 -22.424428663316327, -43.87065956181938 -22.427073323681626, -43.866424976426245 -22.42932270302778, -43.861994398334474 -22.43115611478387, -43.85740857365835 -22.432556697853354, -43.84940430321952 -22.43458731479744, -43.84470052678295 -22.435542938322605, -43.839926792560945 -22.436043128951024, -43.83512709286129 -22.436083277180146, -43.83034565927643 -22.435663013024303, -43.829188607186204 -22.43544803420773, -43.82933817002947 -22.439153881037505, -43.82903649589202 -22.444165596455395, -43.82823372232481 -22.449121789885332, -43.826937943950206 -22.453972486445522, -43.826052549065125 -22.456314114564467, -43.83042498439035 -22.454906215144018, -43.835291186522916 -22.45385925575206, -43.84023737235458 -22.453301319481337, -43.845214523111935 -22.453237935713986, -43.85017331314624 -22.453669732609697, -43.85434020932905 -22.45424272726818, -43.8592708288691 -22.455174911698784, -43.86408318230523 -22.456596611831444, -43.86872879965816 -22.45849350831558, -43.871962163109586 -22.46021009395613, -43.87378700223359 -22.460857590287, -43.87812501235099 -22.462882645424173, -43.88224946516416 -22.46531329741064, -43.88612254904236 -22.46812726282615, -43.88970875682285 -22.471298744158663, -43.89191864735361 -22.47366658513145, -43.934909866324176 -22.466043395444675, -43.939985439509 -22.4654091153231, -43.94509925605605 -22.46529671091809, -43.95019779730919 -22.465707358598134, -43.95522770447591 -22.466636760729216, -43.9568135520746 -22.467101478876728))"
7,3300407,Barra Mansa,"POLYGON ((-44.2419527540803 -22.556554137824183, -44.24197676972211 -22.556537250869734, -44.24616008693353 -22.554160963007117, -44.25055242538503 -22.55219773866312, -44.25511311749207 -22.550665754850478, -44.2597999369249 -22.54957919583161, -44.264569489571784 -22.548948121789998, -44.26937761531446 -22.54877837568543, -44.270799503823014 -22.548865176141266, -44.27063594799021 -22.546490730111934, -44.270723617817175 -22.542064237417257, -44.271116829097465 -22.535937457002568, -44.2716500806093 -22.53131549597752, -44.269226834186064 -22.532298962723623, -44.26421785107555 -22.533745901001836, -44.25908542508965 -22.534663367994, -44.248822644149136 -22.535950114844404, -44.24356010848744 -22.536329370519574, -44.238286907931716 -22.536151966019048, -44.23306176087042 -22.535419876785692, -44.22794285060452 -22.534141254813637, -44.22563779716713 -22.533434371759512, -44.22317375255671 -22.532984929929484, -44.21843091979834 -22.531625560405004, -44.21384515106965 -22.529805375457, -44.21173010535636 -22.528713478379295, -44.21172310888465 -22.528712417659726, -44.20687512721084 -22.527471480191235, -44.2050480022296 -22.52680304260249, -44.20376691661902 -22.53177817582926, -44.201981560504585 -22.53659664892142, -44.20032669666219 -22.539956544219937, -44.20025594832301 -22.540219281700132, -44.19856162615543 -22.544728630738547, -44.19644122725564 -22.54905400527303, -44.193914433129216 -22.553155257252666, -44.19100469743512 -22.55699431892817, -44.18773902828928 -22.560535556196086, -44.184147737575685 -22.563746099353917, -44.18026415959206 -22.56659614819612, -44.176124341641454 -22.569059248619087, -44.17448985755242 -22.569829407490605, -44.17423571062148 -22.570121244478983, -44.170396647269776 -22.5736933610644, -44.166204576991454 -22.57684375327804, -44.164170266366476 -22.578211753466423, -44.15982832394552 -22.580822244127546, -44.15524450105395 -22.582979949662942, -44.15046585911471 -22.58466271723313, -44.147118279716466 -22.585472048481332, -44.14696490575924 -22.586582071054117, -44.14632541177974 -22.58922757546209, -44.146784036315616 -22.593559231136187, -44.14681007988733 -22.59817812488875, -44.152024747921 -22.598949700421937, -44.15291099253535 -22.597786209834165, -44.15612751950491 -22.594304265091676, -44.15965932621025 -22.591142568342807, -44.16130251695916 -22.58993105269418, -44.163438266440494 -22.586659925131688, -44.166432336315104 -22.58291439414, -44.169912484832395 -22.578965038364416, -44.17338058875154 -22.575403173608425, -44.177185259899616 -22.572203313800713, -44.18128888586783 -22.569397092275786, -44.18565089882487 -22.567012250919078, -44.19022817656434 -22.565072365914833, -44.19497546880451 -22.563596614675486, -44.19900462825921 -22.562771794022947, -44.2001535342643 -22.561983669328285, -44.20447642831977 -22.559607689125368, -44.209012405048696 -22.557669233540597, -44.21371731543587 -22.556187169713326, -44.21854536622163 -22.555175922686356, -44.22344956561121 -22.554645335005848, -44.22838218064955 -22.55460057092307, -44.23329520180983 -22.555042066130337, -44.238140810274025 -22.555965523520364, -44.24066687863642 -22.556711128411557, -44.24193593144913 -22.5565545445916, -44.2419527540803 -22.556554137824183))"
8,3300456,Belford Roxo,POLYGON EMPTY
9,3300506,Bom Jardim,"POLYGON ((-42.33567079788398 -22.195048439068852, -42.33568955513788 -22.195214008974354, -42.336004407815246 -22.20029918233402, -42.33580012873324 -22.205389996646385, -42.33507883897226 -22.210433592723295, -42.33384802786285 -22.215377601655252, -42.33212047522217 -22.2201706885708, -42.32991411865792 -22.224763085659216, -42.3287156192736 -22.226718689597675, -42.32821351520746 -22.227980953385103, -42.32591940085574 -22.23240571714628, -42.323196161083075 -22.236580098554533, -42.32073256674988 -22.239640584697714, -42.325775011901214 -22.244067054928347, -42.3288850143964 -22.247043751409812, -42.33163962252822 -22.250177051850926, -42.338405195454335 -22.250491278155963, -42.34306097740104 -22.250926407585926, -42.346018358851175 -22.251485194141484, -42.42416552795783 -22.19966901980304, -42.42488356231165 -22.197040097686713, -42.42659137501759 -22.19254230578068, -42.42872356770322 -22.18822947485195, -42.43126039903081 -22.184141536119057, -42.434178381233764 -22.180316338590597, -42.43997450187169 -22.173432045057666, -42.43879740414767 -22.172759462073977, -42.438547702939886 -22.172772939894916, -42.433630062545525 -22.17255363069702, -42.42875781923815 -22.171851826788355, -42.42397819730144 -22.170674330412727, -42.421957072845736 -22.16995929774767, -42.421362169541474 -22.170395853421642, -42.417288554830854 -22.172827468310008, -42.4130028173742 -22.17486205481063, -42.40854354095915 -22.176481295876723, -42.40510102627564 -22.17754940937921, -42.399183569422775 -22.178996859462735, -42.39313400633561 -22.179713932544253, -42.39046647809913 -22.17986621521186, -42.38578548443192 -22.179913945104826, -42.38112054280511 -22.17952368945324, -42.37651254419343 -22.1786988690789, -42.37200188043239 -22.17744671402063, -42.3676280901599 -22.175778200158717, -42.36342951223672 -22.17370795300483, -42.36028422303645 -22.171771945249525, -42.35814360397664 -22.172544689889172, -42.35675589651814 -22.172970380874254, -42.35222649081675 -22.174131130458406, -42.34760846094995 -22.174863698376228, -42.34406825511901 -22.175089769791512, -42.34275635387413 -22.17535296679732, -42.34232814465136 -22.175395761501733, -42.341166203828536 -22.18080111846136, -42.33998979939584 -22.185261324799782, -42.33840736368882 -22.18959413742021, -42.33643236473423 -22.19376267998326, -42.33567079788398 -22.195048439068852))"
