id_municipio,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
3300100,8.01,7.91,7.84,8.12,8.03,8.13,8.03,8.02,8.01,8.09,8.03,8.08,8.09,8.08,8.16,8.17,8.22,8.22,8.27,8.26,8.27,8.11,7.97
3300159,9.0,8.71,8.53,7.73,8.63,8.69,8.84,8.12,7.96,7.92,7.73,8.49,8.76,8.52,8.52,8.55,8.99,8.74,8.73,8.46,8.34,8.73,8.6
3300209,7.86,8.11,8.29,8.23,8.42,8.46,8.3,8.03,8.16,8.02,7.84,7.81,7.99,7.93,8.13,8.45,8.33,8.27,8.46,8.14,8.01,7.98,8.13
3300225,8.0,7.5,0.0,,8.04,8.17,7.92,,8.5,8.0,8.0,7.5,,,,,,,8.0,,,9.0,9.0
3300233,4.5,9.6,8.75,7.75,8.55,6.8,4.67,8.05,8.06,7.91,7.89,8.0,8.13,8.24,8.11,8.31,8.29,8.27,8.32,8.27,8.44,8.43,8.25
3300258,8.01,7.78,8.23,7.7,7.15,2.18,8.33,7.86,8.24,7.98,8.3,8.28,8.49,8.92,7.98,7.4,8.0,7.04,7.99,8.19,8.41,8.6,8.57
3300308,7.68,7.72,7.66,7.57,7.59,7.76,7.8,7.77,7.66,7.72,7.77,7.64,7.55,7.61,7.74,8.07,8.36,8.24,8.46,8.49,8.39,8.2,8.42
3300407,8.08,8.29,8.39,8.23,8.14,8.37,8.45,8.3,8.23,8.24,8.28,8.14,8.13,8.05,8.1,8.13,8.06,8.37,8.38,8.37,8.4,8.38,8.33
3300456,7.47,7.53,7.73,7.24,7.39,7.61,7.75,7.67,7.72,7.75,7.83,7.85,7.89,7.94,7.93,7.91,7.88,7.87,7.93,7.86,8.12,7.92,7.94
3300506,8.48,8.27,8.59,8.19,8.59,8.9,8.7,8.73,8.78,8.81,8.88,8.82,8.93,8.89,8.71,8.49,8.68,8.66,8.46,8.65,8.81,8.76,8.77
3300605,8.62,8.33,8.6,8.67,8.74,8.69,8.76,8.43,8.28,8.69,8.76,8.74,8.78,8.85,8.8,8.92,8.52,8.28,8.4,8.61,8.7,8.73,8.62
3300704,7.78,7.73,7.69,7.84,8.18,8.12,8.16,8.22,8.19,8.17,8.11,8.08,8.17,8.13,8.17,8.22,8.28,8.24,8.32,8.37,8.4,8.34,8.43
3300803,8.75,8.27,8.04,8.09,8.14,8.42,8.16,8.35,8.64,8.67,8.51,8.49,8.34,8.37,8.37,8.21,8.33,8.37,8.5,8.34,8.31,8.32,8.26
3300902,7.29,7.91,7.53,7.52,7.47,7.3,7.2,7.34,7.52,7.71,7.57,7.96,7.9,7.87,7.82,7.85,7.89,7.82,8.06,8.1,8.06,8.16,8.28
3300936,,,,9.0,8.0,9.0,,,8.0,8.0,8.0,8.67,5.5,4.67,9.0,9.0,9.0,10.0,7.67,9.0,2.0,8.0,
3300951,,,,,8.0,,,,,,,,7.0,,,,,,,,,,9.0
3301009,8.13,8.08,8.22,8.2,7.98,7.87,7.74,7.69,7.84,7.97,8.05,7.96,8.05,8.17,8.08,7.98,8.06,8.05,8.09,8.24,8.25,8.22,8.23
3301108,7.86,8.14,8.51,8.64,8.29,8.67,8.19,8.45,8.47,8.57,8.69,8.7,8.86,8.62,8.57,8.44,8.03,8.05,8.15,8.24,8.28,8.58,8.61
3301207,7.94,8.33,8.3,8.08,8.2,8.14,8.44,8.44,8.44,8.48,8.71,8.45,8.67,8.53,8.49,8.75,8.72,8.61,8.7,8.63,8.66,8.71,8.78
